label,text
scam,Congratulations! You won a lottery of Rs 40437. Claim via UPI now: http://upi-verify.in
legit,BOB: OTP 252918 for UPI transaction of Rs 8651. Do not share.
scam,You have received Rs 42924 in your ICICI account. Click http://secure-upi.co.in to claim instantly.
legit,BOB: Your account XXXX2775 balance is Rs 15011.
scam,Refund of Rs 41527 is pending. Confirm your UPI ID here: http://secure-upi.co.in
legit,PNB: Salary Rs 12054 credited to your account XXXX2420.
scam,Suspicious login detected on your BOB UPI account. Secure now: http://secure-upi.co.in
legit,ICICI: Your account XXXX5819 balance is Rs 19682.
scam,Your UPI account is under verification. Provide OTP to continue.
legit,Axis: Rs 24479 debited from your account XXXX2444 using UPI. Ref No: 516053
scam,Get free cashback Rs 11126 on UPI. Claim offer: http://secure-upi.co.in
legit,HDFC: Salary Rs 40811 credited to your account XXXX3458.
scam,Get free cashback Rs 23921 on UPI. Claim offer: http://upi-verify.in
legit,BOB: Rs 32377 credited to your account XXXX2513 via UPI. Ref No: 882053
scam,Get free cashback Rs 12567 on UPI. Claim offer: http://upi-verify.in
legit,Kotak: Debit card ending 7503 used for UPI txn Rs 10673. Ref 972569.
scam,Get free cashback Rs 8651 on UPI. Claim offer: http://kyc-update.com
legit,HDFC: Your FD interest Rs 8673 credited to account XXXX9355.
scam,Suspicious login detected on your Kotak UPI account. Secure now: http://secure-upi.co.in
legit,SBI: Your account XXXX5695 balance is Rs 35650.
scam,Refund of Rs 35650 is pending. Confirm your UPI ID here: http://secure-upi.co.in
legit,ICICI: Your FD interest Rs 22405 credited to account XXXX4458.
scam,Suspicious login detected on your Axis UPI account. Secure now: http://upi-verify.in
legit,PNB: Debit card ending 2881 used for UPI txn Rs 35526. Ref 574804.
scam,Congratulations! You won a lottery of Rs 46246. Claim via UPI now: http://kyc-update.com
legit,BOB: Salary Rs 9958 credited to your account XXXX2723.
scam,Congratulations! You won a lottery of Rs 8651. Claim via UPI now: http://kyc-update.com
legit,SBI: Your FD interest Rs 36279 credited to account XXXX5390.
scam,Pay Rs 48939 penalty to avoid FIR. Complete UPI payment at http://upi-verify.in
legit,SBI: Rs 38509 credited to your account XXXX1573 via UPI. Ref No: 875390
scam,Your UPI account is under verification. Provide OTP to continue.
legit,HDFC: OTP 761517 for UPI transaction of Rs 49000. Do not share.
scam,Your KYC for ICICI is expiring today. Update now to avoid suspension: http://upi-verify.in
legit,HDFC: Rs 41684 debited from your account XXXX8830 using UPI. Ref No: 655146
scam,Refund of Rs 269 is pending. Confirm your UPI ID here: http://secure-upi.co.in
legit,PNB: UPI transaction of Rs 11358 successful. Ref No: 425213
scam,Congratulations! You won a lottery of Rs 22642. Claim via UPI now: http://upi-verify.in
legit,HDFC: Rs 20005 credited via IMPS to your account XXXX7503.
scam,Congratulations! You won a lottery of Rs 7243. Claim via UPI now: http://upi-helpdesk.net
legit,HDFC: Rs 40705 credited via IMPS to your account XXXX3892.
scam,Refund of Rs 6794 is pending. Confirm your UPI ID here: http://upi-verify.in
legit,ICICI: OTP 358906 for UPI transaction of Rs 17857. Do not share.
scam,Suspicious login detected on your PNB UPI account. Secure now: http://upi-helpdesk.net
legit,HDFC: Your account XXXX7465 balance is Rs 8651.
scam,Suspicious login detected on your Axis UPI account. Secure now: http://kyc-update.com
legit,HDFC: Debit card ending 3458 used for UPI txn Rs 39160. Ref 196275.
scam,Pay Rs 24230 penalty to avoid FIR. Complete UPI payment at http://upi-helpdesk.net
legit,ICICI: Your account XXXX9636 balance is Rs 3174.
scam,Get free cashback Rs 7664 on UPI. Claim offer: http://secure-upi.co.in
legit,HDFC: Your FD interest Rs 41791 credited to account XXXX1430.
scam,Your KYC for ICICI is expiring today. Update now to avoid suspension: http://upi-verify.in
legit,Kotak: Rs 28242 debited from your account XXXX6480 using UPI. Ref No: 257673
scam,Your KYC for BOB is expiring today. Update now to avoid suspension: http://secure-upi.co.in
legit,Kotak: Your FD interest Rs 7664 credited to account XXXX9218.
scam,You have received Rs 44526 in your ICICI account. Click http://kyc-update.com to claim instantly.
legit,PNB: Salary Rs 20449 credited to your account XXXX3298.
scam,You have received Rs 17474 in your Kotak account. Click http://upi-helpdesk.net to claim instantly.
legit,SBI: Debit card ending 4037 used for UPI txn Rs 23921. Ref 821560.
scam,You have received Rs 29198 in your Axis account. Click http://kyc-update.com to claim instantly.
legit,Kotak: Rs 19966 credited to your account XXXX9636 via UPI. Ref No: 421788
scam,Congratulations! You won a lottery of Rs 8051. Claim via UPI now: http://secure-upi.co.in
legit,BOB: UPI transaction of Rs 29725 successful. Ref No: 257673
scam,Your KYC for ICICI is expiring today. Update now to avoid suspension: http://upi-helpdesk.net
legit,PNB: Your FD interest Rs 35752 credited to account XXXX9909.
scam,Your BOB debit card has been blocked. Click http://upi-verify.in to unblock immediately.
legit,SBI: Salary Rs 32015 credited to your account XXXX3661.
scam,Pay Rs 46246 penalty to avoid FIR. Complete UPI payment at http://upi-verify.in
legit,Kotak: Salary Rs 31747 credited to your account XXXX4304.
scam,Suspicious login detected on your HDFC UPI account. Secure now: http://secure-upi.co.in
legit,Kotak: Your FD interest Rs 32377 credited to account XXXX7785.
scam,"Dear customer, your SBI UPI account will be blocked in 24 hrs. Verify now: http://upi-verify.in"
legit,Kotak: Salary Rs 7243 credited to your account XXXX3995.
scam,Your UPI account is under verification. Provide OTP to continue.
legit,Kotak: OTP 280739 for UPI transaction of Rs 9349. Do not share.
scam,You have received Rs 9349 in your BOB account. Click http://upi-verify.in to claim instantly.
legit,BOB: Rs 22642 debited from your account XXXX6910 using UPI. Ref No: 541085
scam,Pay Rs 16266 penalty to avoid FIR. Complete UPI payment at http://upi-verify.in
legit,PNB: OTP 637961 for UPI transaction of Rs 22709. Do not share.
scam,Your UPI account is under verification. Provide OTP to continue.
legit,PNB: Debit card ending 9760 used for UPI txn Rs 35526. Ref 938341.
scam,Congratulations! You won a lottery of Rs 23699. Claim via UPI now: http://upi-helpdesk.net
legit,SBI: Rs 35752 credited via IMPS to your account XXXX7829.
scam,You have received Rs 5482 in your Kotak account. Click http://upi-verify.in to claim instantly.
legit,PNB: Rs 36907 credited via IMPS to your account XXXX4597.
scam,Refund of Rs 17039 is pending. Confirm your UPI ID here: http://secure-upi.co.in
legit,Axis: Rs 39351 credited to your account XXXX5506 via UPI. Ref No: 286980
scam,Get free cashback Rs 30403 on UPI. Claim offer: http://kyc-update.com
legit,BOB: OTP 902556 for UPI transaction of Rs 44951. Do not share.
scam,Get free cashback Rs 8673 on UPI. Claim offer: http://upi-helpdesk.net
legit,HDFC: Salary Rs 22405 credited to your account XXXX5968.
scam,Your KYC for Axis is expiring today. Update now to avoid suspension: http://upi-verify.in
legit,Axis: Rs 28242 credited to your account XXXX9540 via UPI. Ref No: 112114
scam,Pay Rs 24479 penalty to avoid FIR. Complete UPI payment at http://upi-helpdesk.net
legit,SBI: UPI AutoPay of Rs 39400 to MERCHANT successful. Ref: 286980
scam,Your Kotak debit card has been blocked. Click http://upi-verify.in to unblock immediately.
legit,Kotak: UPI transaction of Rs 4444 successful. Ref No: 903317
scam,Your PNB debit card has been blocked. Click http://kyc-update.com to unblock immediately.
legit,Axis: Your account XXXX1004 balance is Rs 18743.
scam,Refund of Rs 32377 is pending. Confirm your UPI ID here: http://upi-verify.in
legit,Kotak: Salary Rs 38509 credited to your account XXXX1156.
