text,source,type,label,category
"Deutsche Bank: INR 35,000.00 credited to a/c 40XXXXXXXXX0019 on 20-Aug 10:55. Clear Balance: INR 75,000.00. Ref: NEFT/ABER000123.",https://www.deutschebank.co.in/en/connect-with-us/sms-alert.html,SMS,safe,transaction_credit
"ICICI Bank: INR 1,200.00 debited from A/c XX1234 on 20-Aug-2025 10:45 for UPI/rahim@icici/UPI Ref: 2345678912.",https://www.icicibank.com/mobile-banking/sms-banking,SMS,safe,transaction_debit
"PNB: Cash withdrawal of INR 5,000.00 from ATM at NEW DELHI on 19-Aug-2025 18:14. A/c XX7781. Avl Bal: INR 23,441.00.",Transactional SMS format references (DLT templates),SMS,safe,atm_withdrawal
HDFC Bank: Your OTP for UPI login is 482193. Do not share this with anyone. Valid for 10 minutes.,https://www.infobip.com/docs/essentials/asia-registration/dlt-templates,SMS,safe,otp
"SBI: Avl Bal in A/c XX4507 as of 20-Aug-2025 09:12 is INR 12,540.55. SMS charges as per schedule.",https://www.sbi.co.in/documents/16012/22770835/150722-Revision+in+Service+Charges+updated+as+on+30062022.pdf,SMS,safe,balance_alert
"ICICI Bank: IMPS transfer of INR 2,500.00 to 98XXXXXX54/MMID 9229134 is successful. Ref: IMPS 0287123291.",https://www.icicibank.com/mobile-banking/alerts,SMS,safe,imps_notice
SBI WhatsApp Banking: Registration successful for A/c ending 1234. Say 'Hi' to +919022690226 to start.,https://sbi.co.in/web/personal-banking/digital/whatsapp-banking,WhatsApp,safe,service_enrolment
"SBI: International usage for Debit Card XXXX4456 is switched ON as requested. To switch OFF, send SMS SWOFF INTL 4456 to 9223966666.",https://www.sbi.co.in/documents/16012/78812/16102020_Enhanced+Seucirty+of+Card+Transactions.pdf,SMS,safe,card_settings
Axis Bank: UPI payment of INR 750.00 to singh@okicici on 20-Aug-2025 11:12 is SUCCESS. UPI Ref: 913827364512.,General bank UPI alert structure (DLT templates),SMS,safe,upi_success
SBI: Never share OTP/PIN with anyone. Bank will never ask for OTP/UPI PIN over phone or link.,https://www.icicibank.com/mobile-banking/sms-banking-faqs,SMS,safe,security_advisory
SBI NOTICE: Your YONO access will be blocked in 24 hrs due to KYC pending. Update now: https://sbi-yono-verification.com,Pattern per NPCI Fraud Awareness (never click unknown links),SMS,scam,kyc_expiry
"Amazon Refund Dept: ₹2,999 sent by mistake. Approve UPI reversal request now to avoid legal action.",https://paytm.com/blog/payments/upi/how-to-identify-fake-upi-payment-request/,WhatsApp,scam,refund_bait
ICICI Bank Alert: Unusual login detected. Cancel here immediately → http://icici-secure-check.in Ref: IC-229181,Phishing pattern per CERT-In advisories,SMS,scam,suspicious_login
