id,label,channel,category,text,pattern_source
S0001,scam,SMS,call_merge_otp,"To cancel unauthorized charge, accept incoming verification call and provide OTP.",CERT-In advisory
S0002,scam,WhatsApp,overpayment,"Hi, I accidentally sent ₹399 to you. Please accept the payment and return ₹38976 by approving the request.",Fintech safety blog
S0003,scam,SMS,fake_bank_notice,PNB Notice: Confirm your details here: http://icici-verify.co.in.,Paytm UPI Fraud Guide
S0004,scam,WhatsApp,fake_merchant_payment,Merchant: Paid ₹192919 to your UPI. Approve reversal request.,CERT-In advisory
S0005,scam,WhatsApp,fake_payment_screenshot,Payment done. UPI Ref 1135861. Screenshot attached. Release goods.,CERT-In advisory
S0006,scam,WhatsApp,refund_bait,Amazon Refund: ₹13194 sent by mistake. Click http://phonepe-cashback-claim.co to confirm reversal or face legal action.,NPCI Fraud Awareness
S0007,scam,SMS,fake_charity,Urgent Flood Relief: Donate ₹128115 to help victims. Transfer to shopkeeper@okicici via UPI.,Razorpay Fake Payment Guide
S0008,scam,SMS,fake_charity,Urgent Flood Relief: Donate ₹82411 to help victims. Transfer to foodcart@axis via UPI.,CERT-In advisory
S0009,scam,SMS,vishing_text,Bank Security: We will call to verify. Keep your OTP handy to cancel fraudulent transaction.,RBI Cautions
S0010,scam,SMS,vishing_text,Bank Security: We will call to verify. Keep your OTP handy to cancel fraudulent transaction.,News reports on UPI scams
S0011,scam,WhatsApp,overpayment,You have received ₹178. Please send back ₹9375 immediately by approving the UPI request from foodcart@axis.,Fintech safety blog
S0012,scam,SMS,fake_bill_disconnection,Fiber Net: Payment overdue ₹172798. Pay now: http://pay-verify-upi.com or service suspended.,RBI Cautions
S0013,scam,SMS,fake_loan_fee,Pre-approved loan ₹65879. Disbursal in 5 mins after processing fee ₹1809. Pay at http://upi-secure-help.in,Fintech safety blog
S0014,scam,SMS,vishing_text,Bank Security: We will call to verify. Keep your OTP handy to cancel fraudulent transaction.,RBI Cautions
S0015,scam,SMS,fake_charity,Urgent Flood Relief: Donate ₹66823 to help victims. Transfer to seller01@upi via UPI.,Fintech safety blog
S0016,scam,SMS,fake_charity,Urgent Flood Relief: Donate ₹111917 to help victims. Transfer to shopkeeper@okicici via UPI.,Fintech safety blog
S0017,scam,WhatsApp,fake_merchant_payment,Customer says payment done. Approve collect request to release order.,RBI Cautions
S0018,scam,SMS,fake_bank_notice,Kotak: Important security update. Verify account details at http://sbi-secure-verify.in to avoid restrictions.,CERT-In advisory
S0019,scam,SMS,fake_app_update,Update required: Your UPI app version is outdated. Update now at http://hdfc-kyc-update.com to continue transactions.,CERT-In advisory
S0020,scam,SMS,fake_bill_disconnection,Electricity Dept: Bill ₹121828 pending. Service will be disconnected tonight. Pay at http://lottery-claim-win.in,Paytm UPI Fraud Guide
S0021,scam,SMS,suspicious_login,Unusual activity on your account. Verify identity at http://pay-verify-upi.com to avoid freeze.,RBI Cautions
S0022,scam,SMS,fake_loan_fee,Pre-approved loan ₹115959. Disbursal in 5 mins after processing fee ₹1059. Pay at http://lottery-claim-win.in,NPCI Fraud Awareness
S0023,scam,WhatsApp,overpayment,"Hi, I accidentally sent ₹491 to you. Please accept the payment and return ₹48660 by approving the request.",NPCI Fraud Awareness
S0024,scam,WhatsApp,fake_payment_screenshot,Payment done. UPI Ref 2987287. Screenshot attached. Release goods.,NPCI Fraud Awareness
S0025,scam,SMS,lottery,Congratulations! Govt prize of ₹100331 for you. Complete form at http://govt-subsidy-claim.co.in within 48 hrs.,Razorpay Fake Payment Guide
S0026,scam,SMS,kyc_expiry,Axis Bank ALERT: KYC not updated. Update now to avoid account suspension: http://paytm-verify-upi.in,Paytm UPI Fraud Guide
S0027,scam,WhatsApp,overpayment,"Hi, I accidentally sent ₹208 to you. Please accept the payment and return ₹25464 by approving the request.",CERT-In advisory
S0028,scam,WhatsApp,overpayment,You have received ₹63. Please send back ₹39135 immediately by approving the UPI request from seller01@upi.,NPCI Fraud Awareness
S0029,scam,SMS,call_merge_otp,"To cancel unauthorized charge, accept incoming verification call and provide OTP.",Fintech safety blog
S0030,scam,SMS,fake_charity,Urgent Flood Relief: Donate ₹99440 to help victims. Transfer to seller01@upi via UPI.,Razorpay Fake Payment Guide
S0031,scam,SMS,fake_reward,Loyalty Bonus ₹59712 added. Visit http://sbi-secure-verify.in to redeem.,Fintech safety blog
S0032,scam,SMS,vishing_text,Your card is blocked. Call back +91-XXXXXXXXXX to reactivate. Share OTP to verify.,RBI Cautions
S0033,scam,SMS,impersonation_police,Police Notice: Investigation ongoing. Transfer ₹149237 to avoid arrest.,News reports on UPI scams
S0034,scam,SMS,fake_govt_subsidy,PMAY Subsidy: ₹131869 approved. Click http://hdfc-kyc-update.com to accept.,Fintech safety blog
