id,label,source,text,pattern_tags,notes
S00861,scam,news_sample,Bank blocked your account. Call immediate on +918964127489 and share OTP to reactivate.,,
L00354,legit,govt_service,"Alert: A login to your netbanking from new device on 6/5/2025. If not you, call +918195594672.",,
S00334,scam,honeypot,Pay INR 499 as token to release your prize. Pay here: http://secure-pay.in/e3poch,phishing_link,
L00906,legit,govt_service,Your account XXXX3414 has been credited with INR 1500 by NEFT. Ref: TNDJJO9NIF.,txn|reference,
S00290,scam,honeypot,Someone sent you INR 250. Accept collect request at pay74@upi to receive funds.,collect_request,
S00274,scam,synthetic,Install this app http://example.com/w3ciaq to get a refund from ICICI.,phishing_link|refund_scam,
L00939,legit,payment_app,Your ECS mandate for INR 12345 with BigBasket is registered. Mandate ID: RPK9VO8PM4.,,
S00732,scam,news_sample,Rs 100 credited. Please refund INR 1025 to confirm identity: http://secure-pay.in/2sj2ji,phishing_link|refund_scam,
L00066,legit,merchant_txn,Your OTP for transaction of INR 5000 at BookMyShow is 648410. Do not share it with anyone.,otp,
S00324,scam,honeypot,Rs 199 credited. Please refund INR 2429 to confirm identity: http://secure-pay.in/kjvzmo,phishing_link|refund_scam,
L00057,legit,payment_app,Your account XXXX6693 has been credited with INR 12345 by NEFT. Ref: Z3V6DIXFWU.,txn|reference,
S00293,scam,crowd_report,Pay INR 5000 as token to release your prize. Pay here: http://refund-now.in/adluvj,phishing_link|refund_scam,
S00119,scam,honeypot,Pay INR 499 as token to release your prize. Pay here: http://bit.ly/4lk514,phishing_link,
L00585,legit,govt_service,Your KYC for Electricity is completed successfully.,,
L00375,legit,bank_dlt_template,Payment of INR 999 to ICICI using UPI was successful. Txn ID: CYLTM9R6MG.,reference,
L00276,legit,govt_service,"Dear Customer, your bill of INR 499 for Internet is due on 15/11/2025. Pay at: http://refund-now.in/mtfle1",reference,
L00747,legit,govt_service,"Alert: A login to your netbanking from new device on 2/8/2025. If not you, call +919527985142.",,
L00129,legit,bank_dlt_template,Your a/c ending XXXX7729 is debited by INR 199 on 19/6/2025. Avl bal: INR 4485.,txn|balance,
S00647,scam,crowd_report,Your UPI refund of INR 199 is pending. Enter OTP 750782 to confirm refund: http://tinyurl.com/d25p10,phishing_link|refund_scam|otp_request,
S00853,scam,news_sample,This is Support from Amazon. Send me the OTP you received to approve payment.,,
L00675,legit,govt_service,"Dear Customer, your bill of INR 199 for Mobile is due on 5/8/2025. Pay at: http://example.com/v4fygw",,
S00665,scam,synthetic,Rs 999 credited. Please refund INR 5123 to confirm identity: http://bit.ly/vfj1l0,phishing_link|refund_scam,
